Restaurant Name,Rating,Cuisine,Average Price,Average Delivery Time,Safety Measure,Location
Thali Company,3.4,North Indian,₹100 for one,25 min,Restaurant partner follows WHO protocol,Bhopal
Breakfast House Of Bhopal,4.1,North Indian,₹100 for one,28 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Bakers Point,3.6,"Bakery, Street Food, Pizza, Desserts",₹100 for one,26 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Shri Jaypal Restaurant And Caterers,3.2,"North Indian, South Indian, Chinese",₹100 for one,34 min,Restaurant partner follows WHO protocol,Bhopal
The Momo's Parlour,3.9,Momos,₹100 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Hot Spot,4.1,"Burger, Pasta, Wraps, Fast Food, Street Food, Desserts, Beverages",₹100 for one,38 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Mewad Soda,4.5,"Shake, Beverages, Desserts",₹50 for one,28 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Chef Mumma,4.1,"Fast Food, North Indian, Chinese, Beverages",₹50 for one,35 min,Restaurant partner follows WHO protocol,Bhopal
The Bastion,4.1,"Continental, North Indian, Chinese, Biryani, Mughlai, Desserts",₹50 for one,39 min,Restaurant partner follows WHO protocol,Bhopal
Hotel Ranjit Legacy,4.0,"North Indian, Chinese, Mughlai, Biryani, Continental, Fast Food, Desserts, Beverages",₹50 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Idli Junction,3.8,South Indian,₹50 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Chatpatasty,3.6,Street Food,₹50 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Rajhans Regent Bakery,3.4,"Bakery, Fast Food",₹50 for one,47 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Nothing Before Coffee,3.8,"Beverages, Shake, Coffee, Tea, Street Food, Desserts",₹50 for one,36 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Shree Krishna Gaurav Sweets And Namkeen,3.1,"Mithai, Street Food, Beverages",₹50 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Shree Govardhan Rasoi,3.5,"North Indian, Fast Food, Street Food",₹50 for one,41 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
French Fries Hub,3.9,"Fast Food, Street Food",₹50 for one,36 min,Restaurant partner follows WHO protocol,Bhopal
Keventers - Milkshakes & Desserts,3.7,"Shake, Beverages, Desserts",₹50 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Sankalp Express,3.9,"South Indian, North Indian, Street Food, Beverages",₹250 for one,42 min,Restaurant partner follows WHO protocol,Bhopal
Sanjay Fresh Bake,4.0,Bakery,₹250 for one,39 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Pure Veg Meals By LunchBox,4.3,North Indian,₹250 for one,27 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Kareem Hotel,4.2,"North Indian, Mughlai",₹250 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
"Aesthetic’s Nutrition - Healthy Food, Simplified",4.2,"Healthy Food, Fast Food",₹250 for one,44 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
VP Food's- Shri Bhojnalay,3.3,"South Indian, North Indian, Chinese, Fast Food, Biryani",₹250 for one,37 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Delhi 6,3.9,"North Indian, Street Food",₹250 for one,30 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Hotel Ranjeet,3.8,"North Indian, Mughlai, Chinese, Biryani, Continental, Italian, Desserts, Beverages",₹250 for one,46 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Shree Restuarants,3.5,"North Indian, South Indian, Chinese, Pizza, Pasta, Fast Food, Street Food, Beverages",₹250 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Shri Krishna Bhojnalay,3.3,North Indian,₹250 for one,43 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Ethiraj Restaurant,3.8,"North Indian, South Indian, Chinese, Continental, Fast Food, Desserts, Beverages",₹250 for one,47 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Gyani de Chole Bhature,4.1,North Indian,₹250 for one,36 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
The Milkshake Lab,4.2,"Shake, Beverages, Desserts, Sandwich, Fast Food, Street Food",₹150 for one,49 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Tao Bao,3.4,"Korean, Momos, Bubble Tea, Shake, Beverages",₹150 for one,51 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Nagpal's Chole Bhature,New,"North Indian, Beverages",₹150 for one,41 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Murga On Wheels,4.2,"North Indian, Mughlai, Biryani, Chinese, Fast Food",₹150 for one,26 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Chicken Ka Kitchen,3.6,Mughlai,₹150 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Papa De Chole Bhature,3.5,"North Indian, Street Food",₹150 for one,41 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Mommy's Chicken,4.0,North Indian,₹150 for one,43 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Ready Mealz,3.8,"North Indian, Chinese, Street Food",₹150 for one,46 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Rise N Dine,3.6,North Indian,₹150 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Just Thai,3.9,"Thai, Asian, Chinese",₹150 for one,41 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Amrit Bhojnalaya,3.7,"North Indian, Desserts",₹150 for one,43 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Sankalp - The Taste of South,4.3,"South Indian, Beverages",₹150 for one,25 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Pizza Shop,3.3,Pizza,₹200 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Brown Box Pizza,3.4,"Pizza, Fast Food",₹200 for one,60 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Marbella's Cafe and Lounge,3.5,"North Indian, Chinese, Roast Chicken, Fast Food, Street Food",₹200 for one,57 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
The Taste Capital,3.9,"Chinese, North Indian, Seafood, Mughlai, Thai, Biryani, Salad",₹200 for one,30 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Momo Maya,4.2,"Momos, Chinese, Fast Food, Shake, Beverages",₹200 for one,44 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cake Wala,3.8,"Desserts, Bakery",₹200 for one,41 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
UTC Live,3.8,"North Indian, Chinese, Momos, Fast Food, Street Food, Desserts, Beverages",₹200 for one,55 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Raj Darbar,4.2,North Indian,₹200 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
All In One Cakes,-,Bakery,₹200 for one,25 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Siddhi Vinayak Restaurant,3.6,"North Indian, Chinese, Beverages",₹200 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Wafflella,3.9,"Desserts, Waffle, Shake, Ice Cream",₹200 for one,34 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
D For Dosa,3.9,South Indian,₹200 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Home Made Idli Sambhar,3.7,South Indian,₹50 for one,19 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Om Naman Sweets And Restaurant,-,"Mithai, North Indian",₹50 for one,41 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Foodie Paaji Kitchen,3.8,"North Indian, Street Food, Biryani",₹50 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
"Frozen Bottle - Milkshakes, Desserts And Ice Cream",4.2,"Shake, Beverages, Waffle, Healthy Food, Ice Cream, Desserts",₹50 for one,40 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Kwality's Motel Shiraz,4.3,"North Indian, Chinese, Mughlai, Biryani, Thai, Oriental, Desserts, Beverages",₹50 for one,38 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Appu Khana,4.3,"Fast Food, Street Food, North Indian, South Indian, Chinese, Shake, Juices, Beverages",₹50 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cake Waka,3.2,Bakery,₹50 for one,30 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
NiK'S Restro & Cafe,4.1,"North Indian, Thai, Chinese, Beverages",₹50 for one,42 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Feel The Meal,3.6,"North Indian, Desserts",₹50 for one,42 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Morning 2 Night,3.9,"North Indian, Street Food, Fast Food, Beverages",₹50 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
MJ Momos,3.9,"Momos, Wraps",₹50 for one,37 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Shree Vaibhav Laxmi Family Restaurant And Bhojnalaya,4.2,"North Indian, Chinese",₹50 for one,25 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
TDS: 10 Downing Street,4.1,"North Indian, Chinese, Continental, Biryani, Italian, Fast Food",₹450 for one,38 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Eagle Boys Pizzeria And Cafe,3.8,"Cafe, Coffee, Shake, Beverages, Pizza, Burger, Fast Food",₹450 for one,53 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Arpit's Rivaayat,4.2,Biryani,₹450 for one,36 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cafe InfiniTea,3.8,"Salad, Chinese, Pasta, Burger, Wraps, Sandwich, Street Food, Fast Food",₹450 for one,25 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Rajwadi Thaath,4.1,"Chinese, Momos, Fast Food, Street Food, Beverages",₹450 for one,51 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Pan Etteria,New,"Bakery, Fast Food, Street Food, Waffle, Shake, Beverages",₹450 for one,50 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
HOD - House Of Delish Café,3.1,"Fast Food, Chinese, Italian, Finger Food, Pizza, Burger, Shake, Beverages",₹450 for one,42 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Shoukeen's Chicken,4.3,North Indian,₹450 for one,21 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Anny's Artisan Bistro,4.0,"North Indian, Oriental, Continental, Italian, Pizza, Chinese, Desserts",₹450 for one,38 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Shikha Thali,New,North Indian,₹450 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Bum Chik Restaurant,4.1,"North Indian, Shake, Fast Food, South Indian, Chinese",₹450 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Swagat Bhojnalaya,3.7,"North Indian, Street Food",₹450 for one,34 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
New Pakiza Hotel,3.6,North Indian,₹100 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cake House,3.1,Bakery,₹100 for one,28 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Keyansh Sigdi Dosa,4.3,"South Indian, Street Food, Sandwich, Shake, Desserts",₹100 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
The Cake Gallery,3.0,"Bakery, Desserts",₹100 for one,31 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Coco's,3.9,"Biryani, Mughlai, North Indian",₹100 for one,57 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Mau's Cafe,3.9,"Maharashtrian, South Indian, Street Food",₹100 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cake Manuhar,3.4,Bakery,₹100 for one,34 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Homemade Fresh Food,3.8,"North Indian, Desserts",₹100 for one,59 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Pepperazzi,4.1,"North Indian, Chinese, Fast Food, Mughlai, Beverages, Continental, Italian, Wraps",₹100 for one,26 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Paratha House Delhi,New,North Indian,₹100 for one,44 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Taste Of Tadka,3.1,"North Indian, South Indian",₹100 for one,39 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Food Costa,3.3,"Pizza, Burger, Sandwich, Pasta, Street Food, Fast Food, Beverages",₹100 for one,46 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Sandwich Point,3.5,Sandwich,₹150 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Langar Bistro & Restro,4.0,"Thai, Chinese, North Indian, Seafood, Mughlai, Biryani, Beverages",₹150 for one,43 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
House Of Delici,3.5,"North Indian, Chinese, Fast Food, Pizza, Mughlai, Desserts, Beverages",₹150 for one,54 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
The Residency Hotel,4.0,"North Indian, Chinese, Mughlai, Biryani",₹150 for one,29 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Sakshi's Kitchen,-,North Indian,₹150 for one,44 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
PVR Café,3.9,"Fast Food, Momos, Beverages",₹150 for one,41 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Berco's - If You Love Chinese,3.8,"Asian, Thai, Chinese, Momos, Seafood, Desserts, Beverages",₹150 for one,38 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Dilli Ki Hatii,3.3,"North Indian, Chinese, Fast Food, Street Food, Beverages, Pizza",₹150 for one,38 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Faasos Signature Wraps and Rolls,4.2,"Rolls, Wraps, Fast Food",₹150 for one,26 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Eggs On Wheels,3.7,Street Food,₹150 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Call Combos,3.7,North Indian,₹150 for one,27 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cake Stories,3.2,Bakery,₹150 for one,27 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Shree Lashkar Gajak House,4.3,Mithai,₹100 for one,29 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Maggi & Moods,3.5,"Street Food, Fast Food, Beverages",₹100 for one,49 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Sandwich Story,-,Sandwich,₹100 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Gupta Fast Food And Restaurant,-,"North Indian, South Indian, Chinese, Fast Food, Street Food, Beverages",₹100 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Sehra's Morar Restaurant,3.5,"North Indian, Mughlai, Biryani, Chinese",₹100 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
MoShik's Homemade Chocolates,4.1,Desserts,₹100 for one,25 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Thali Zone,3.8,North Indian,₹100 for one,39 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Ramu Kaka Restaurant,4.0,"Chinese, Fast Food, North Indian, Burger, Sandwich, Beverages, Italian, Shake",₹100 for one,27 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
The Kanha Castle,3.5,"Italian, South Indian, North Indian, Chinese, Kebab, Biryani, Desserts, Beverages",₹100 for one,31 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Naveen Restaurant & Snacks Corner,4.3,"North Indian, Chinese, Pasta, Momos, Fast Food, Street Food, Shake, Beverages",₹100 for one,52 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Food Factory,-,"North Indian, Chinese, Rolls, Momos",₹100 for one,43 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Swad By Mishra Ji,4.3,"Street Food, North Indian, Shake",₹100 for one,59 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Jhulelal Bakery,3.5,Bakery,₹50 for one,28 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Oven Craft Pizzeria,3.8,"Pizza, Beverages",₹50 for one,38 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
F For Fries,4.2,Fast Food,₹50 for one,30 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Kulcha Express,3.9,"North Indian, Street Food, Chinese, Beverages",₹50 for one,45 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cake Street,3.1,Bakery,₹50 for one,28 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Sharma Bhojnalya The Family Restaurant,4.3,"North Indian, Fast Food",₹50 for one,27 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cake Dessert,New,"Bakery, Pizza",₹50 for one,42 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
New Delhi Zaika Family Restaurant And Cateres,3.7,"North Indian, Mughlai",₹50 for one,37 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cake Bank,2.9,Bakery,₹50 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
The Cake Zone,-,Bakery,₹50 for one,25 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cinnabon,4.0,"Desserts, Beverages",₹50 for one,27 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Kashish Momos Fast Food Centre,3.1,"Fast Food, Chinese, North Indian, Momos, Sandwich, Beverages",₹50 for one,49 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Amritsari Chole Kulche,3.1,"North Indian, Street Food",₹100 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Siyaram Bakery,3.8,Bakery,₹100 for one,24 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
The Lalit,-,"North Indian, South Indian, Chinese, Fast Food, Pizza, Burger, Beverages",₹100 for one,37 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Fit Fusion,4.0,"Healthy Food, Burger, Sandwich, Fast Food, Street Food, Coffee, Shake, Beverages",₹100 for one,38 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cake Showroom Bakery,3.4,Bakery,₹100 for one,37 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cake Mart,3.7,Bakery,₹100 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Hong Kong Restaurant,4.1,"Chinese, Italian, North Indian, Seafood, Shake, Beverages, Sichuan",₹100 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Firecraft by Rajhans,3.9,"South Indian, Chinese, Pizza, Sandwich, Fast Food, Desserts, Ice Cream, Shake",₹100 for one,36 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
34 Chowringhee Lane,3.7,"Rolls, Momos",₹100 for one,39 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Bikaner Misthan Bhandar,3.4,"Mithai, Desserts",₹100 for one,43 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
The Jivi Cafe & Restro,-,"Cafe, Chinese, Sandwich, Burger, Beverages",₹100 for one,47 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Giani Ice Cream,4.0,"Ice Cream, Shake, Desserts",₹100 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Time On Food,3.6,"North Indian, Street Food",₹150 for one,47 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Mio Amore Cake Shop,3.0,Bakery,₹150 for one,21 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Yuvraj Dhaba,4.0,"North Indian, Biryani, Mughlai, Seafood",₹150 for one,41 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cake Rominos,4.0,Bakery,₹150 for one,34 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cake Floor Bakery,3.0,Bakery,₹150 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Street King,3.8,"North Indian, Fast Food",₹150 for one,43 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cake Valley,3.0,Bakery,₹150 for one,23 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
The Dream Cones Cafe And Restaurant,-,"Chinese, Fast Food, Pizza, Sandwich, Burger, Pasta, Beverages",₹150 for one,30 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Waheguru Dal Pakwan,4.6,Sindhi,₹150 for one,34 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Chaat House,3.5,"Street Food, Beverages",₹150 for one,39 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Food Boutique,4.3,Fast Food,₹150 for one,43 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Colours Of Curry,4.1,"North Indian, Mughlai",₹150 for one,44 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Fagito,3.8,"Continental, Beverages, Italian",₹300 for one,41 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Goila Butter Chicken,New,"North Indian, Kebab",₹300 for one,29 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Lunch Box Factory,3.2,North Indian,₹300 for one,52 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Veera Di Hatti,3.7,North Indian,₹300 for one,29 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Sindh Krishna Bakery,2.5,"Bakery, Pizza, Fast Food",₹300 for one,18 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Kiki's Cafe,3.3,"Fast Food, Pizza, Sandwich, North Indian",₹300 for one,63 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Hotel Mayur Palace,4.1,"North Indian, South Indian",₹300 for one,45 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cake Players,-,Bakery,₹300 for one,34 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Saucy Momos,4.1,"Momos, Street Food",₹300 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Coffee Therapy,3.3,"Cafe, Coffee, Tea, Shake, Beverages",₹300 for one,31 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Gupta Ji Burger Center And Fast Food,4.0,"Fast Food, Burger, Chinese",₹300 for one,36 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Bhoj Inn,4.2,"North Indian, Fast Food, Desserts",₹300 for one,49 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Tapti Restaurant,3.6,"North Indian, Chinese, Fast Food",₹200 for one,24 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Chai 34,4.2,"Fast Food, Beverages, Tea, Shake",₹200 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Spoon & Beats,4.1,"North Indian, Biryani, Oriental, Continental, Fast Food, Salad, Desserts, Beverages",₹200 for one,45 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Anni's Kitchen,-,North Indian,₹200 for one,45 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Hotel Ganpati,3.6,"North Indian, South Indian, Mughlai, Chinese, Fast Food, Desserts, Beverages",₹200 for one,28 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Pitchers Cafe Bar,3.4,"North Indian, Chinese, Italian, Burger, Fast Food, Pasta, Biryani, Desserts",₹200 for one,43 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cake Bar,2.8,"Bakery, Desserts, Fast Food",₹200 for one,34 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
God's Plan,3.6,"North Indian, Chinese, Fast Food, Sandwich, Biryani, Street Food, Shake, Beverages",₹200 for one,44 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
The Hub Street Hotel,-,"North Indian, Chinese, Fast Food, Healthy Food",₹200 for one,21 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Kuber Dairy,4.0,"Mithai, Mishti, Desserts, South Indian, Street Food",₹200 for one,30 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Punjabi Tadka Resto,New,North Indian,₹200 for one,28 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cloud - 9 Espresso,3.3,"Pizza, Sandwich, Pasta, Burger, Fast Food, Street Food, Tea, Beverages",₹200 for one,36 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Ministry Of Chaaps,4.0,"North Indian, Chinese, Fast Food, Beverages, Momos",₹150 for one,Currently not accepting orders,Follows all Max Safety measures to ensure your food is safe,Bhopal
Ayush Meena Momos,3.9,Momos,₹150 for one,34 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
The Hunger Bytes,3.9,"Chinese, Fast Food, Beverages",₹150 for one,40 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Rashmi Ka Rasoighar,4.3,North Indian,₹150 for one,37 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cake Talent,-,"Bakery, Street Food",₹150 for one,28 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Happy Cake,-,Bakery,₹150 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Baker's Castle,4.0,"Bakery, Desserts, Sandwich, Pizza, Beverages",₹150 for one,30 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Kake Di Hatti,3.5,"North Indian, Chinese, Rolls",₹150 for one,39 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Biryani Baba,3.8,Biryani,₹150 for one,44 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Bhopal Xpress,-,Fast Food,₹150 for one,36 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Four Dreams - The Live Cake Shop,New,Bakery,₹150 for one,24 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
The Squeeze Bar,-,"Juices, Shake, Beverages",₹150 for one,25 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Ramras Burger Kitchen,-,"Burger, Sandwich, Wraps, Fast Food, Shake, Tea, Beverages",₹100 for one,45 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cake Mania,-,Bakery,₹100 for one,30 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Sharma Momos,-,Momos,₹100 for one,28 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Yadavji Foods,3.4,"North Indian, Biryani",₹100 for one,58 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Cake Leela,-,Bakery,₹100 for one,41 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
The Waffle Jar,3.9,"Desserts, Beverages",₹100 for one,46 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Shakezone,-,"Beverages, Shake",₹100 for one,37 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Bunty Food Point,3.6,North Indian,₹100 for one,24 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Dera,-,"North Indian, Fast Food, Chinese",₹100 for one,22 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Sheetal's Bakery,4.3,Bakery,₹100 for one,27 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Amar Delhi Darbar,-,"North Indian, Mughlai, Biryani",₹100 for one,36 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Mishra Tea Stall,4.0,Beverages,₹100 for one,34 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Lux Sky Lounge,3.9,Chinese,₹300 for one,37 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Mommy's Chicken,-,"Chinese, Fast Food",₹300 for one,47 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Eco-friendoo Foodzone,-,Pizza,₹300 for one,31 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
Gourmet Cake - Cakingo,New,"Bakery, Desserts",₹300 for one,34 min,Follows all Max Safety measures to ensure your food is safe,Bhopal
